source,target,label
Norepinephrine,Clozapine,Component-Whole
Amino acids,Glutamic acid,Component-Whole
Chicken,Aspergillus oryzae,Component-Whole
before epidural Morphine,of epidural Morphine,Cause-Effect
Histamine,Bicalutamide,Component-Whole
Metronidazole,4-Methylimidazole,Cause-Effect
Polyvinyl alcohol,Methylcellulose,Component-Whole
Water,Propylene glycol,Component-Whole
Ivarmacitinib,Delgocitinib,Component-Whole
"However, increasing Mannose",of cation-independent Mannose,Cause-Effect
Bacillus subtilis,Caffeine,Cause-Effect
Montelukast,Cyclosporine,Component-Whole
Cyclosporine,Dapsone,Component-Whole
Dapsone,Hydroxychloroquine,Component-Whole
Acetate,Polyethylene glycol,Component-Whole
Triamcinolone,Polysorbate 80,Component-Whole
Calcium,Iron,Component-Whole
Calcium,Oxygen,Component-Whole
Parthenolide,Paclitaxel,Cause-Effect
Wheat,Nitrogen,Cause-Effect
"Regarding interactions, Wheat","contents, whereas Wheat",Cause-Effect
Wheat,common bread Wheat,Cause-Effect
Recombinant human Thrombopoietin,antibodies of Thrombopoietin,Component-Whole
Eltrombopag,Hydrogen,Component-Whole
Fusarium graminearum,Wheat,Cause-Effect
Cadmium,Chromium,Cause-Effect
Water,than low-mineral Water,Cause-Effect
AIV in Poultry,the global Poultry,Cause-Effect
Amino acids,Tryptophan,Component-Whole
Ketamine,Esketamine,Component-Whole
Mangostin,Tetrodotoxin,Component-Whole
Remimazolam,Remifentanil,Cause-Effect
Codeine,Opium,Component-Whole
Iron,Zinc,Cause-Effect
Titanium,Cobalt,Cause-Effect
Angiotensin II,Aldosterone,Cause-Effect
Cadmium,Vanadium,Cause-Effect
Zinc,Iron,Cause-Effect
Irinotecan,SN-38,Cause-Effect
Morphine,SN-38,Cause-Effect
Phenol,Povidone,Component-Whole
Amino acids,Arginine,Component-Whole
Glutathione,Ascorbic acid,Component-Whole
Glutathione,Potato,Component-Whole
Ammonia,Poultry,Component-Whole
broth or Wheat,more than Wheat,Cause-Effect
Silicon,Calcitonin gene-related peptide,Cause-Effect
Trehalose,Peach,Cause-Effect
Carnosine,Cysteine,Component-Whole
Shrimp,Alanine,Cause-Effect
Amino acids,Alanine,Component-Whole
Oxygen,Hydrogen,Component-Whole
Ibrutinib,Water,Cause-Effect
Nitrite,Nitrate,Cause-Effect
Cucumber,Escherichia coli,Cause-Effect
Pectin,Sucrose,Cause-Effect
Yeast,Inositol,Component-Whole
Zanubrutinib,Ibrutinib,Component-Whole
Turmeric,Curcumin,Component-Whole
Acetate,Chloroform,Component-Whole
Selenium,Selenocysteine,Component-Whole
Tryptophan,Leucine,Cause-Effect
functions in Wheat,improvement of Wheat,Component-Whole
Glutathione,Sucrose,Component-Whole
Water,Hydrogen,Component-Whole
Chromium,Antimony,Cause-Effect
Indole,Serotonin,Cause-Effect
co-administered with Tenofovir,that include Tenofovir,Cause-Effect
Dexamethasone,Lenalidomide,Component-Whole
Lettuce,"1,3-Propanediol",Cause-Effect
Glutathione,Water,Cause-Effect
Coconut,Sorbitol,Component-Whole
Grape,Water,Component-Whole
Wheat,5-Hydroxymethylfurfural,Component-Whole
Oxygen,Soybean,Component-Whole
Cisplatin,Vincristine,Component-Whole
Amino acids,Arginine,Component-Whole
Salicylic acid,Formic acid,Component-Whole
Ranolazine,Quercetin,Component-Whole
Shrimp,Alkaline Phosphatase,Component-Whole
Caffeine,Dopamine,Cause-Effect
Almond,Water,Component-Whole
Olanzapine,Aprepitant,Component-Whole
Metoclopramide,Ondansetron,Component-Whole
Granisetron,Aprepitant,Component-Whole
Losartan,Telmisartan,Cause-Effect
Selenium,Alternaria alternata,Cause-Effect
with four Potassium,0 (no Potassium,Component-Whole
Alkaline Phosphatase,Potassium,Cause-Effect
Curcumin,Alkaline Phosphatase,Component-Whole
Clarithromycin,Minocycline,Component-Whole
Nitrite,Oxygen,Cause-Effect
Quercetin,Carboxymethylcellulose,Component-Whole
Melatonin,Amino acids,Component-Whole
Amino acids,Glutathione,Component-Whole
Barley,Glutathione,Component-Whole
Clove,Eugenol,Component-Whole
Valproic acid,Brivaracetam,Component-Whole
Insulin human,Insulin glargine,Component-Whole
Insulin glargine,Insulin detemir,Component-Whole
Imidazole,Ammonia,Component-Whole
Iron,Selenium,Cause-Effect
Olive oil,Soybean,Cause-Effect
Herring,Ethanol,Component-Whole
contents in Pea,mortality when Pea,Cause-Effect
