source,target,similarity
Norepinephrine,find elevated Norepinephrine,0.921332836
Norepinephrine,catabolism of Norepinephrine,0.920709848
Norepinephrine,Acetylcholine,0.880871415
Norepinephrine,Serotonin,0.877355099
Norepinephrine,Vasopressin,0.864526927
Clozapine,Olanzapine,0.955941856
Clozapine,Fluoxetine,0.889393628
Clozapine,Paroxetine,0.881118476
Clozapine,Carbamazepine,0.878469586
Clozapine,Methadone,0.868697047
Amino acids,Proline,0.925333798
Amino acids,Glycine,0.909367204
Amino acids,Serine,0.904684126
Amino acids,Ammonia,0.899511218
Amino acids,Valine,0.899084806
Glutamic acid,Aspartic acid,0.914365351
Glutamic acid,Glycine,0.906494379
Glutamic acid,Valine,0.893730402
Glutamic acid,Asparagine,0.893532932
Glutamic acid,Cysteine,0.892751694
Chicken,Rice,0.960950971
Chicken,Shrimp,0.959955335
Chicken,Corn,0.957466602
Chicken,Apple,0.956789553
Chicken,Banana,0.953436255
Aspergillus oryzae,Candida albicans,0.875522435
Aspergillus oryzae,Fusarium oxysporum,0.836282611
Aspergillus oryzae,Pseudomonas aeruginosa,0.835862041
Aspergillus oryzae,Fusarium graminearum,0.835552454
Aspergillus oryzae,Glycyrrhiza glabra,0.833547056
before epidural Morphine,of epidural Morphine,0.986401439
before epidural Morphine,Fentanyl,0.906849563
before epidural Morphine,Remifentanil,0.899397016
before epidural Morphine,Buprenorphine,0.89042604
before epidural Morphine,Morphine,0.887233317
of epidural Morphine,before epidural Morphine,0.986401439
of epidural Morphine,Fentanyl,0.904191494
of epidural Morphine,Remifentanil,0.897009134
of epidural Morphine,Morphine,0.889812112
of epidural Morphine,Buprenorphine,0.886382103
Histamine,Testosterone,0.879135251
Histamine,Serine,0.877562881
Histamine,Trypsin,0.874618113
Histamine,Betaine,0.872287869
Histamine,Opium,0.869642675
Bicalutamide,Lobaplatin,0.907785952
Bicalutamide,Tacrolimu,0.902685225
Bicalutamide,Tobramycin,0.902017474
Bicalutamide,Lenalidomide,0.892968655
Bicalutamide,Remimazolam,0.889870822
Metronidazole,Miconazole,0.934343636
Metronidazole,Fluconazole,0.932690918
Metronidazole,Voriconazole,0.930994093
Metronidazole,Omeprazole,0.920779526
Metronidazole,Itraconazole,0.911854029
4-Methylimidazole,Imidazole,0.936481476
4-Methylimidazole,Benzimidazole,0.928476393
4-Methylimidazole,4-hydroxybenzoic acid,0.913140893
4-Methylimidazole,Dipyridamole,0.903364301
4-Methylimidazole,5-Hydroxymethylfurfural,0.901968241
Polyvinyl alcohol,Polysorbate 80,0.900204957
Polyvinyl alcohol,Isopropyl alcohol,0.895705819
Polyvinyl alcohol,Carboxymethylcellulose,0.886880755
Polyvinyl alcohol,Methylcellulose,0.885419667
Polyvinyl alcohol,Acrylic Acid,0.873418868
Methylcellulose,Carboxymethylcellulose,0.944038868
Methylcellulose,Polyvinyl alcohol,0.885419667
Methylcellulose,Polysorbate 80,0.881100714
Methylcellulose,Acrylic Acid,0.878149509
Methylcellulose,Gelatin,0.875328124
Water,Nitrogen,0.921309471
Water,Ethanol,0.920243144
Water,Rice,0.915612698
Water,Coconut,0.914761782
Water,Potassium,0.912856221
Propylene glycol,Polyethylene glycol,0.958326221
Propylene glycol,Isopropyl alcohol,0.868324935
Propylene glycol,Carboxymethylcellulose,0.860821724
Propylene glycol,Polyvinyl alcohol,0.854241014
Propylene glycol,Methylcellulose,0.85217905
Ivarmacitinib,Delgocitinib,0.951545238
Ivarmacitinib,Axitinib,0.940505624
Ivarmacitinib,Ibrutinib,0.935549438
Ivarmacitinib,Palbociclib,0.923051119
Ivarmacitinib,Crizotinib,0.918639362
Delgocitinib,Ivarmacitinib,0.951545238
