concept_i,concept_j,sentence_i,sentence_j,sim,contradiction_reason
Norepinephrine,Serotonin,"Morphine decreased dopamine levels, but significantly elevated norepinephrine, the dopamine metabolites dihydroxyphenylacetic acid (DOPAC) and homovanillic acid (HVA), and the serotonin metabolite 5-hydroxyindoleacetic acid, which typically correlated with increased locomotor behavior.","The treatment also evoked pronounced neurochemical responses in zebrafish, including increased whole-brain 3-methoxytyramine, reduced norepinephrine and serotonin, and unaltered dopamine, homovanillic acid or 5-hydroxyindoleacetic acid levels.",0.967,"جملهٔ اول نشان می‌دهد مورفین موجب فعال‌سازی سیستم نوروترنسمیتری شده (افزایش متابولیت‌ها و نورآدرنالین)،
در حالی که جملهٔ دوم اثرات مهارکننده یا متعادل‌ساز گزارش می‌کند (کاهش نورآدرنالین و سروتونین، بدون تغییر در متابولیت‌ها)."
Clozapine,Olanzapine,"Quetiapine, risperidone, and olanzapine showed more positive signals compared with clozapine and aripiprazole.","The ANOVA, ranking in order of treatment response, showed that the highest mean score (expressing highest treatment response) was observed in amisulpride (31 [67%] of 46) and risperidone (95 [57%] of 167), followed by some distance by quetiapine (9 [36%] of 25), aripiprazole (13 [28%] of 46) and olanzapine (7 [25%] of 28).


CONCLUSIONS
Amisulpride and risperidone were associated with a higher treatment response than quetiapine, aripiprazole and olanzapine.",0.915,"در جملهٔ اول، Quetiapine و Olanzapine به‌عنوان داروهایی با اثر مثبت‌تر از Clozapine و Aripiprazole توصیف شده‌اند،
اما در نتایج آماری (ANOVA) و نتیجه‌گیری نهایی، همین دو دارو پاسخ پایین‌تری نسبت به Risperidone و Amisulpride دارند."
Ivarmacitinib,Delgocitinib,Two low-dose groups of oral formulations (ritlecitinib 10mg and ivarmacitinib 2mg) and two topical formulations (delgocitinib ointment and ruxolitinib cream) appeared to be relatively ineffective against moderate-to-severe AA.,"Topical delgocitinib, tofacitinib, ruxolitinib, cerdulatinib and ifidancitinib are effective in treating AD and significantly improve EASI, IGA, pruritus-NRS score and some other indexes in adults.",0.952,تناقض در گزارش اثرگذاری delgocitinib و ruxolitinib است — در یک مطالعه ضعیف و در دیگری قوی توصیف شده‌اند.
Delgocitinib,Ivarmacitinib,"Topical delgocitinib, tofacitinib, ruxolitinib, cerdulatinib and ifidancitinib are effective in treating AD and significantly improve EASI, IGA, pruritus-NRS score and some other indexes in adults.",Two low-dose groups of oral formulations (ritlecitinib 10mg and ivarmacitinib 2mg) and two topical formulations (delgocitinib ointment and ruxolitinib cream) appeared to be relatively ineffective against moderate-to-severe AA.,0.952,"تناقض در این است که اثر بالینی delgocitinib و ruxolitinib به‌طور متضاد گزارش شده:
در درمان درماتیت آتوپیک (AD) بسیار مؤثر،
ولی در درمان آلوپسی آریتا (AA) نسبتاً بی‌اثر."
Serotonin,Dopamine,"Morphine decreased dopamine levels, but significantly elevated norepinephrine, the dopamine metabolites dihydroxyphenylacetic acid (DOPAC) and homovanillic acid (HVA), and the serotonin metabolite 5-hydroxyindoleacetic acid, which typically correlated with increased locomotor behavior.","The treatment also evoked pronounced neurochemical responses in zebrafish, including increased whole-brain 3-methoxytyramine, reduced norepinephrine and serotonin, and unaltered dopamine, homovanillic acid or 5-hydroxyindoleacetic acid levels.",0.967,"در مطالعه‌ی اول، مورفین باعث افزایش فعالیت نورآدرنرژیک و سروتونرژیک و افزایش متابولیت‌های دوپامین شده،
اما در مطالعه‌ی دوم، همان درمان در ماهی زبرا (zebrafish) موجب کاهش نورآدرنالین و سروتونین و عدم تغییر در دوپامین و متابولیت‌ها بوده است."
Serotonin,Norepinephrine,"Morphine decreased dopamine levels, but significantly elevated norepinephrine, the dopamine metabolites dihydroxyphenylacetic acid (DOPAC) and homovanillic acid (HVA), and the serotonin metabolite 5-hydroxyindoleacetic acid, which typically correlated with increased locomotor behavior.","The treatment also evoked pronounced neurochemical responses in zebrafish, including increased whole-brain 3-methoxytyramine, reduced norepinephrine and serotonin, and unaltered dopamine, homovanillic acid or 5-hydroxyindoleacetic acid levels.",0.967,"در مطالعه‌ی اول، مورفین موجب افزایش متابولیت‌ها و تحریک سیستم نورآدرنرژیک و سروتونرژیک شده،
در حالی‌که در مطالعه‌ی دوم (روی زبرا فیش) همان درمان باعث کاهش نورآدرنالین و سروتونین و ثبات یا بی‌تغییری در متابولیت‌ها شده است."
Dopamine,Serotonin,"Morphine decreased dopamine levels, but significantly elevated norepinephrine, the dopamine metabolites dihydroxyphenylacetic acid (DOPAC) and homovanillic acid (HVA), and the serotonin metabolite 5-hydroxyindoleacetic acid, which typically correlated with increased locomotor behavior.","The treatment also evoked pronounced neurochemical responses in zebrafish, including increased whole-brain 3-methoxytyramine, reduced norepinephrine and serotonin, and unaltered dopamine, homovanillic acid or 5-hydroxyindoleacetic acid levels.",0.967,"تفاوت در دوز و مدت تجویز مورفین:
دوز پایین → افزایش آزادسازی دوپامین
دوز بالا یا مزمن → تخلیه ذخایر دوپامین و کاهش سطح آن"
Olanzapine,Clozapine,"The ANOVA, ranking in order of treatment response, showed that the highest mean score (expressing highest treatment response) was observed in amisulpride (31 [67%] of 46) and risperidone (95 [57%] of 167), followed by some distance by quetiapine (9 [36%] of 25), aripiprazole (13 [28%] of 46) and olanzapine (7 [25%] of 28).


CONCLUSIONS
Amisulpride and risperidone were associated with a higher treatment response than quetiapine, aripiprazole and olanzapine.","Quetiapine, risperidone, and olanzapine showed more positive signals compared with clozapine and aripiprazole.",0.915,در اولی کوئتیاپین و اولانزاپین داروهای با پاسخ درمانی پایین‌تر از ریسپریدون معرفی شده‌اند، اما در دومی همان داروها نسبت به کلوزاپین و آریپیپرازول پاسخ بهتری نشان داده‌اند.
Thrombin,Fibrin,"Mice treated with both clopidogrel and rivaroxaban exhibited platelet and fibrin accumulation that was similar to that with either drug given alone; however, dual antithrombotic therapy resulted in impaired hemostasis at doses that had no impact on bleeding when given in isolation.


CONCLUSION
Combined administration of antiplatelet and anticoagulant therapeutics exacerbates bleeding as compared to that with either drug alone, potentially via combined loss of both adenosine 5'-diphosphate- and thrombin-mediated platelet activation.","Platelet accumulation and fibrin deposition were evaluated using quantitative multiphoton fluorescence microscopy, and bleeding times were recorded.


RESULTS
Mice treated with clopidogrel alone exhibited a decrease in platelet accumulation at the site of injury, with prolonged bleeding times only at the highest doses of clopidogrel used.",0.965,در اولی کلُوپیدوگرل به‌تنهایی اثری بر خون‌ریزی ندارد اما در ترکیب با ریواروکسابان باعث افزایش خون‌ریزی می‌شود، در حالی‌که در دومی کلُوپیدوگرل به‌تنهایی هم در دوز بالا خون‌ریزی را طولانی می‌کند؛ یعنی نقش آن در اختلال هموستاز در یکی فقط در ترکیب و در دیگری حتی به‌تنهایی گزارش شده است.
Thrombin,Fibrin,"Mice treated with both clopidogrel and rivaroxaban exhibited platelet and fibrin accumulation that was similar to that with either drug given alone; however, dual antithrombotic therapy resulted in impaired hemostasis at doses that had no impact on bleeding when given in isolation.


CONCLUSION
Combined administration of antiplatelet and anticoagulant therapeutics exacerbates bleeding as compared to that with either drug alone, potentially via combined loss of both adenosine 5'-diphosphate- and thrombin-mediated platelet activation.",Mice treated with rivaroxaban alone instead showed a reduction in fibrin deposition with no impact on bleeding.,0.94,در اولی ریواروکسابان به‌تنهایی اثری بر خون‌ریزی ندارد اما در ترکیب با کلوپیدوگرل خون‌ریزی را تشدید می‌کند، در حالی‌که در دومی همان ریواروکسابان به‌تنهایی باعث کاهش رسوب فیبرین (کاهش اثر لخته‌سازی) می‌شود ولی بدون تغییر در خون‌ریزی؛ یعنی دارو در یکی بی‌اثر بر هموستاز و در دیگری مهارکننده مؤلفه لخته‌سازی معرفی شده است.
